103
0 280 -5.664284e-06 8.182331e-06 -6.765306e-06 -6.506247e-06
360 200 -4.815440e-06 -8.967780e-06 2.202947e-05 1.723459e-05
280 360 6.647740e-06 -5.848692e-06 7.220404e-06 -1.646843e-05
320 200 7.669238e-06 1.283131e-05 -1.830257e-05 3.640196e-06
200 320 -1.064815e-05 1.396493e-05 -6.546592e-06 -1.210658e-05
240 360 -3.753953e-06 2.883973e-06 -6.877696e-06 9.911372e-06
120 400 -1.888445e-05 9.801126e-06 1.617052e-05 2.579784e-05
160 400 1.318773e-05 8.104040e-06 -6.907113e-06 -6.589920e-06
480 120 2.387194e-06 1.115083e-05 -4.228536e-06 -1.079531e-05
40 440 -1.173748e-06 -1.400453e-05 7.095646e-06 1.270261e-05
40 280 -5.645563e-06 2.284832e-05 -2.037252e-05 -1.280337e-06
400 40 2.799812e-05 1.065406e-05 1.027936e-05 1.267383e-05
80 360 2.366451e-06 -1.062771e-05 -9.338420e-06 -2.124401e-05
80 320 -5.357471e-06 3.087649e-05 -3.606579e-07 2.463369e-05
480 40 1.175950e-05 -6.976486e-06 5.975350e-07 1.216991e-05
360 320 2.190632e-05 4.251806e-06 1.922179e-05 -5.435062e-06
400 120 -1.272696e-05 1.055481e-05 1.515971e-05 -2.979488e-05
320 160 -5.031428e-06 3.437112e-05 1.420153e-06 2.551401e-05
0 400 1.281931e-05 3.346370e-05 -3.187758e-06 -1.392013e-07
280 200 5.582223e-06 1.681355e-06 1.768217e-05 1.060880e-05
160 280 1.988092e-05 -3.056854e-06 -6.928011e-06 -1.886325e-05
400 320 3.002402e-06 -4.518205e-06 -1.433281e-06 -2.863462e-05
200 400 -1.221587e-05 1.560020e-05 -1.789662e-06 8.719389e-06
120 360 1.689087e-05 -7.565876e-06 -3.680445e-06 -1.261290e-05
0 480 -2.882312e-05 4.783363e-06 -7.516343e-06 -4.281954e-06
360 0 -2.656639e-05 -1.196405e-05 1.964063e-05 2.616779e-05
320 40 9.330647e-06 3.001670e-05 -2.246726e-06 1.103402e-05
0 440 6.970290e-06 1.065409e-05 -1.260337e-05 2.542125e-05
160 240 -1.390266e-06 -2.797052e-05 -2.555278e-05 -1.915259e-05
400 0 2.346247e-05 -2.372405e-06 -1.740094e-05 9.102376e-06
240 440 -1.941108e-06 1.716531e-05 2.937523e-06 2.513153e-06
320 80 2.366687e-05 1.690553e-05 1.224887e-05 1.007280e-05
360 160 3.707288e-05 -1.243750e-05 -2.146913e-05 -1.390526e-06
160 320 8.790983e-06 -2.610544e-05 -2.445124e-05 2.966124e-05
400 200 2.281958e-05 -8.573453e-06 3.171808e-05 -2.080525e-05
440 240 2.836019e-06 7.839623e-07 -3.582820e-06 -2.095864e-05
